no,student_id,first_name,last_name,gender,date_of_birth,social_id
1,12345678,nguyen,thi b,nam,01/01/2000,1234567890123
2,98765432,tran,thi d,nu,02/02/2001,456789012345
3,76543210,le,thi f,nam,03/03/2002,654321098765
4,54321098,hoang,thi h,nu,04/04/2003,876543210987
5,32109876,pham,thi j,nam,05/05/2004,098765432109
6,21098765,dang,thi l,nu,06/06/2005,109876543210
7,10987654,vu,thi n,nam,07/07/2006,210987654321
8,98765432,nguyen,thi p,nu,08/08/2007,321098765432
9,87654321,nguyen,thi r,nam,09/09/2008,432109876543
10,76543210,nguyen,thi t,nu,10/10/2009,543210987654
